content,product_id,product_name,title,name,verified_buyer,votes_up
"Finally!! A coffee that doesn&#x27;t cost $6 per cup, isn&#x27;t loaded with sugar, and has a great taste. Very well done!",1406083694643,Super Coffee Variety Pack,Best Coffee,Noah W.,true,172
"I&#x27;m glad I got the chance to try it before buying more. I like strong coffee, but this is way too strong for me. Also, I don&#x27;t like the sweetener being used. It leaves a weird aftertaste. The only way I can drink it is to dilute it with milk, so it won&#x27;t go to waste.",1406083694643,Super Coffee Variety Pack,Too Strong / too sweet,Ellen G.,true,38
Love love love super coffee. Thank you again for making my shipment right. Will purchase again. Merry Christmas 🎄🎁,1406083694643,Super Coffee Variety Pack,Outstanding,Jeanne M.,true,25
SOOOOOO delicious. It’s got enough of a caramel sweet pop to it with a good taste of coffee to balance it out. It’s not sugary sweet but a rich smooth sweet. I also have blended this up as a blended coffee too! So versatile!,1729256489011,Caramel Super Espresso,Creamy sweet goodness!,Jane M.,true,11
"I absolutely love the taste of this product, the energy it gives, and the health aspect!!!!! I would recommend it to anyone!!!!",1729256489011,Caramel Super Espresso,LOVE IT!!!!!,Lisa R.,true,3
So good. Easy. I’m passing up my Starbucks routine to stay home and drink these!! Love it!,1729256489011,Caramel Super Espresso,So good. Easy. I’m passing,Dania J.,true,2
"Speedy shipping, I had been having some problem with shipping, but I reached out and they immediately corrected the issues, completely fits my keto and weight loss lifestyle, and the taste is AMAZING, I recommend it to everyone! It’s how I start everyday! I’ve been a customer for about 6 months now and I plan on staying one for life.",1406004985907,Hazelnut Latte Super Coffee,How I start every single day!,Rebecca B.,true,10
"This is the perfect coffee solution for me. The taste is great, it is not too acidic, and it gives me truly positive energy. I have just purchased a 24-pack with a variety of flavors because I know I am going to enjoy them all.",1406004985907,Hazelnut Latte Super Coffee,Incredible!,Jay H.,true,4
I absolutely love this coffee and try not to have it on a daily basis....,1406004985907,Hazelnut Latte Super Coffee,Addicting,Amber M.,true,2
"This creamer makes my morning coffee the best part of my day. With just the right sweetness and creaminess, I have a perfect latte every day.",4447811764275,Sweet Cream Super Creamer,Morning treat,Julie O.,true,23
Absolutely a game changer if you are on a low carb diet. I began Keto and was discouraged with choices of creamers. I am a huge coffee drinker and was wasting carbs. I ran across this product at my local grocery store and gave it a try. Then I order the caramel and mocha super coffee in a can and was hooked! Worth every penny to me. These products rock!,4447811764275,Sweet Cream Super Creamer,Game Changer!,Jennifer P.,true,21
"I searched and searched for acceptable creamers when I started keto. All fell flat...powders, almond, coconut, you name it I tried it. These saved my love of (coffee) and creamer!! Yes more spendy than bad for you creamer....but the quality matches the price. Auto-ship is awesome, company has EXCELLENT communication! Love this so much I take it with me when I travel!",4447811764275,Sweet Cream Super Creamer,Travels with me!!,Pam,true,5
"Flavor and energy receive a 5 star rating. No matter how much I shake the drink before and during drinking, I can’t get some chunks to go away that either settle at the bottom or around the cap at the top. It just makes the last sip really chunky. I think it’s the protein though so I drink it up. Don’t want to waste any of the benefits of drinking these!",4534979297331,Caramel Latte Super Coffee,Delicious flavor but chunky,Sara D.,true,47
I look forward to getting up each morning to enjoy my super coffee! It taste great and is all natural with healthy ingredients.,4534979297331,Caramel Latte Super Coffee,Super Coffee Rocks!,Laurie L.,true,24
Love the low carbs,4534979297331,Caramel Latte Super Coffee,Love the low carbs,Dawn M.,true,21
"I love it!!!!!!!!! Not as much as Maple Pumpkin, but well, pumpkin.",1406039162931,Mocha Latte Super Coffee,Mocha Super Coffee,Janis B.,true,19
"Hands down, Super coffee is the best tasting bottled coffee out there that has this nutrition label. I am blown away. The taste is really good! Strong with a hint of sweet but not at all too sweet. I have been drinking these for about a year and a half and introduced many people to them as well. They all love it",1406039162931,Mocha Latte Super Coffee,Tastes so naughty but with out the harmful ingredients. Yumm,Amy E.,true,14
I just wanted to try it! I figured that it would just be something to try once but the taste is phenomenal! I’m not a fan of cold or iced coffee but I freeze it and drink it like a slush! I love it!,1406039162931,Mocha Latte Super Coffee,I just wanted to try,Natalie D.,true,13
"I just can’t say enough happiness and joy that I have found your products!!!
My last shipment arrived w one of my creamers leaking inside the box. Including photos… guessing it was dropped during shipping. Other than that I’m so happy!",4721422794803,Deadline Maker,Love my order!,Barbara O.,true,0
Love the variety!! I absolutely love the creamers!! It&#x27;s such a great way to switch up your morning coffee!! Options are always the best way to start your day!,6588750495795,Super Creamer Variety Pack,Sarah J.,Sarah J.,true,0
Love the variety and the taste!,6588750495795,Super Creamer Variety Pack,Love the variety and the,Tom B.,true,0
Delicious 😋 and creamy…with no worries…love it ❤️,6588750495795,Super Creamer Variety Pack,Delicious 😋 and creamy…with no,Anthonya S.,true,0
I really like this product. I wish it was more readily available in all supermarkets! I like the lack of sweetness in the Original flavor.,4448172900403,Original Super Creamer,I love Original Super Creamer,Stefanie S.,true,26
I love this creamer.... it tastes like half and half but without the sugar and carbs.,4448172900403,Original Super Creamer,The best creamer,Linda H.,true,5
I have tried a few of their flavored creamers but the Original Super Creamer is hands down my fave. It&#x27;s creamy &amp; delicious!,4448172900403,Original Super Creamer,Love this!,Ivy P.,true,5
Love the taste,4672324927539,Vanilla Super Coffee Ground,Great taste,Carissa A.,true,3
I love Super Coffee! My GF loves it as well. I put the coffee in the pot and it brews before I wake up. My house gets filled with the lovely smell of Super Coffee. It&#x27;s how EVERY coffee drinker should begin their day!,4672324927539,Vanilla Super Coffee Ground,Awesome,Chris B.,true,2
The hype is real folks. Really good coffee with the benefits of being SUPER. Great no crash enrrgy,4672324927539,Vanilla Super Coffee Ground,Great Coffee Great energy!,Jeff N.,true,2
Great!,1406054072371,Vanilla Latte Super Coffee,Great!,Judy T.,true,11
I ABSOLUTELY LOVE your Super Coffee!!!! Very tasty and good for me too!!! :),1406054072371,Vanilla Latte Super Coffee,Vanilla Super Coffee,Mary S.,true,9
Love love love these coffees.. Gives me so much energy without a crash..,1406054072371,Vanilla Latte Super Coffee,Love love love these coffees..,Andrea S.,true,8
"I love this product, this company, their staff... this creamer has been a Keto dream. SO.GOOD.",4545131806771,Caramel Super Creamer,AMAZEBALLS,Amber P.,true,48
"This is the best keto creamer I&#x27;ve found out there. No clumping, no messy powders...just great taste, natural, healthy ingredients and terrifically priced. Win/win/win!",4545131806771,Caramel Super Creamer,GOTTA LOVE CARAMEL!,Elaine W.,true,9
Great flavor. Coffee is not the same without it.,4545131806771,Caramel Super Creamer,Great flavor. Coffee is not,Michael B.,true,2
